row_index,image_id,true_label,true_class,VGG_pred,VGG_conf,VGG_ptrue,VGG_error,ResNet_pred,ResNet_conf,ResNet_ptrue,ResNet_error,EffNet_pred,EffNet_conf,EffNet_ptrue,EffNet_error,n_wrong,category,wrong_set,mean_conf,min_conf,conf_range,mean_ptrue,min_ptrue,mean_conf_wrong_models,mean_ptrue_wrong_models,n_unique_preds,agreement_level,vote_entropy_bits,jsd_bits,unanimous_outcome
0,0,0,glioma,1,0.47705078125,0.216796875,1,3,0.60498046875,0.1993408203125,1,0,0.552734375,0.552734375,0,2,two_model_failures,VGG+ResNet,0.544921875,0.47705078125,0.1279296875,0.3229573567708333,0.1993408203125,0.541015625,0.20806884765625,3,split_1_1_1,1.584962500721156,0.29123909327813036,disagreement
1,1,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,1.0,1.0,0,0,correct_all,none,1.0,1.0,0.0,1.0,1.0,,,1,unanimous,-0.0,8.866964193383984e-05,unanimous_correct
2,2,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.994140625,0.994140625,0,0,correct_all,none,0.998046875,0.994140625,0.005859375,0.998046875,0.994140625,,,1,unanimous,-0.0,0.0029760474613073247,unanimous_correct
3,3,0,glioma,3,0.82763671875,0.04705810546875,1,0,0.9892578125,0.9892578125,0,0,0.60693359375,0.60693359375,0,1,one_model_failure,VGG,0.8079427083333334,0.60693359375,0.38232421875,0.5477498372395834,0.04705810546875,0.82763671875,0.04705810546875,2,split_2_1,0.9182958340544896,0.7740888772973681,disagreement
4,4,0,glioma,0,0.7880859375,0.7880859375,0,0,0.990234375,0.990234375,0,3,0.6875,0.11334228515625,1,1,one_model_failure,EffNet,0.8219401041666666,0.6875,0.302734375,0.63055419921875,0.11334228515625,0.6875,0.11334228515625,2,split_2_1,0.9182958340544896,0.5952559246083863,disagreement
5,5,0,glioma,0,0.96337890625,0.96337890625,0,2,0.9853515625,0.0076446533203125,1,1,0.9541015625,0.00745391845703125,1,2,two_model_failures,ResNet+EffNet,0.9676106770833334,0.9541015625,0.03125,0.32615915934244794,0.00745391845703125,0.9697265625,0.007549285888671875,3,split_1_1_1,1.584962500721156,1.364954794491932,disagreement
6,6,0,glioma,0,0.96044921875,0.96044921875,0,0,0.99609375,0.99609375,0,1,0.50634765625,0.48583984375,1,1,one_model_failure,EffNet,0.8209635416666666,0.50634765625,0.48974609375,0.8141276041666666,0.48583984375,0.50634765625,0.48583984375,2,split_2_1,0.9182958340544896,0.2680840024956973,disagreement
7,7,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,1.0,1.0,0,0,correct_all,none,1.0,1.0,0.0,1.0,1.0,,,1,unanimous,-0.0,0.00011730829237843006,unanimous_correct
8,8,0,glioma,1,0.9951171875,4.76837158203125e-06,1,1,0.97998046875,1.3709068298339844e-06,1,1,0.716796875,0.004825592041015625,1,3,shared_failure,VGG+ResNet+EffNet,0.8972981770833334,0.716796875,0.2783203125,0.00161057710647583,1.3709068298339844e-06,0.8972981770833334,0.00161057710647583,1,unanimous,-0.0,0.12951976848272578,unanimous_wrong
9,9,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.9658203125,0.9658203125,0,0,correct_all,none,0.9886067708333334,0.9658203125,0.0341796875,0.9886067708333334,0.9658203125,,,1,unanimous,-0.0,0.017700313967883588,unanimous_correct
10,10,0,glioma,0,0.9912109375,0.9912109375,0,0,0.998046875,0.998046875,0,0,0.9970703125,0.9970703125,0,0,correct_all,none,0.9954427083333334,0.9912109375,0.0068359375,0.9954427083333334,0.9912109375,,,1,unanimous,-0.0,0.0030139535214032537,unanimous_correct
11,11,0,glioma,1,0.97705078125,1.1920928955078125e-07,1,1,0.9990234375,0.0,1,1,0.98193359375,0.01346588134765625,1,3,shared_failure,VGG+ResNet+EffNet,0.9860026041666666,0.97705078125,0.02197265625,0.004488666852315267,0.0,0.9860026041666666,0.004488666852315267,1,unanimous,-0.0,0.014111147077871533,unanimous_wrong
12,12,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.9990234375,0.9990234375,0,0,correct_all,none,0.9996744791666666,0.9990234375,0.0009765625,0.9996744791666666,0.9990234375,,,1,unanimous,-0.0,0.00027287558912207936,unanimous_correct
13,13,0,glioma,1,0.54638671875,0.453125,1,0,0.98388671875,0.98388671875,0,0,0.75,0.75,0,1,one_model_failure,VGG,0.7600911458333334,0.54638671875,0.4375,0.72900390625,0.453125,0.54638671875,0.453125,2,split_2_1,0.9182958340544896,0.20170215015311954,disagreement
14,14,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,1.0,1.0,0,0,correct_all,none,1.0,1.0,0.0,1.0,1.0,,,1,unanimous,-0.0,6.330199539424488e-05,unanimous_correct
15,15,0,glioma,0,1.0,1.0,0,0,0.9990234375,0.9990234375,0,0,0.99609375,0.99609375,0,0,correct_all,none,0.9983723958333334,0.99609375,0.00390625,0.9983723958333334,0.99609375,,,1,unanimous,-0.0,0.0014123934327255096,unanimous_correct
16,16,0,glioma,0,0.99609375,0.99609375,0,0,0.97412109375,0.97412109375,0,0,0.994140625,0.994140625,0,0,correct_all,none,0.9881184895833334,0.97412109375,0.02197265625,0.9881184895833334,0.97412109375,,,1,unanimous,-0.0,0.006783115654269284,unanimous_correct
17,17,0,glioma,0,1.0,1.0,0,0,0.986328125,0.986328125,0,0,0.9990234375,0.9990234375,0,0,correct_all,none,0.9951171875,0.986328125,0.013671875,0.9951171875,0.986328125,,,1,unanimous,-0.0,0.005042659674389438,unanimous_correct
18,18,0,glioma,1,0.7001953125,0.003025054931640625,1,1,0.7373046875,0.055755615234375,1,1,0.46240234375,0.078369140625,1,3,shared_failure,VGG+ResNet+EffNet,0.63330078125,0.46240234375,0.27490234375,0.04571660359700521,0.003025054931640625,0.63330078125,0.04571660359700521,1,unanimous,-0.0,0.06701229711502066,unanimous_wrong
19,19,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.94970703125,0.94970703125,0,0,correct_all,none,0.9832356770833334,0.94970703125,0.05029296875,0.9832356770833334,0.94970703125,,,1,unanimous,-0.0,0.026996645907317415,unanimous_correct
20,20,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,1.0,1.0,0,0,correct_all,none,1.0,1.0,0.0,1.0,1.0,,,1,unanimous,-0.0,0.00013547771854837917,unanimous_correct
21,21,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.998046875,0.998046875,0,0,correct_all,none,0.9993489583333334,0.998046875,0.001953125,0.9993489583333334,0.998046875,,,1,unanimous,-0.0,0.0007853699233612644,unanimous_correct
22,22,0,glioma,0,0.994140625,0.994140625,0,1,0.5625,0.437255859375,1,0,0.8974609375,0.8974609375,0,1,one_model_failure,ResNet,0.8180338541666666,0.5625,0.431640625,0.7762858072916666,0.437255859375,0.5625,0.437255859375,2,split_2_1,0.9182958340544896,0.2605327702563015,disagreement
23,23,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.9951171875,0.9951171875,0,0,correct_all,none,0.9983723958333334,0.9951171875,0.0048828125,0.9983723958333334,0.9951171875,,,1,unanimous,-0.0,0.0022646343084102363,unanimous_correct
24,24,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.97802734375,0.97802734375,0,0,correct_all,none,0.99267578125,0.97802734375,0.02197265625,0.99267578125,0.97802734375,,,1,unanimous,-0.0,0.011503272564784686,unanimous_correct
25,25,0,glioma,0,0.970703125,0.970703125,0,0,0.9970703125,0.9970703125,0,0,0.7802734375,0.7802734375,0,0,correct_all,none,0.916015625,0.7802734375,0.216796875,0.916015625,0.7802734375,,,1,unanimous,-0.0,0.093973985115898,unanimous_correct
26,26,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,1.0,1.0,0,0,correct_all,none,1.0,1.0,0.0,1.0,1.0,,,1,unanimous,-0.0,0.00020855833642860087,unanimous_correct
27,27,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.9931640625,0.9931640625,0,0,correct_all,none,0.9977213541666666,0.9931640625,0.0068359375,0.9977213541666666,0.9931640625,,,1,unanimous,-0.0,0.0034536494530674026,unanimous_correct
28,28,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.97265625,0.97265625,0,0,correct_all,none,0.9908854166666666,0.97265625,0.02734375,0.9908854166666666,0.97265625,,,1,unanimous,-0.0,0.014646408932403598,unanimous_correct
29,29,0,glioma,0,0.93115234375,0.93115234375,0,0,0.98095703125,0.98095703125,0,1,0.5732421875,0.4091796875,1,1,one_model_failure,EffNet,0.8284505208333334,0.5732421875,0.40771484375,0.7737630208333334,0.4091796875,0.5732421875,0.4091796875,2,split_2_1,0.9182958340544896,0.34031261826446857,disagreement
30,30,0,glioma,1,0.63134765625,1.1920928955078125e-07,1,1,0.96044921875,0.003437042236328125,1,1,0.6708984375,0.002239227294921875,1,3,shared_failure,VGG+ResNet+EffNet,0.7542317708333334,0.63134765625,0.3291015625,0.0018921295801798503,1.1920928955078125e-07,0.7542317708333334,0.0018921295801798503,1,unanimous,-0.0,0.10743722037069492,unanimous_wrong
31,31,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,1.0,1.0,0,0,correct_all,none,1.0,1.0,0.0,1.0,1.0,,,1,unanimous,-0.0,2.584551909085264e-05,unanimous_correct
32,32,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.9951171875,0.9951171875,0,0,correct_all,none,0.9983723958333334,0.9951171875,0.0048828125,0.9983723958333334,0.9951171875,,,1,unanimous,-0.0,0.0023786665191437347,unanimous_correct
33,33,0,glioma,2,0.970703125,5.960464477539063e-08,1,1,0.9892578125,0.0,1,2,0.66015625,0.0638427734375,1,3,shared_failure,VGG+ResNet+EffNet,0.8733723958333334,0.66015625,0.3291015625,0.021280944347381592,0.0,0.8733723958333334,0.021280944347381592,2,split_2_1,0.9182958340544896,0.6377423696334144,disagreement
34,34,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.9990234375,0.9990234375,0,0,correct_all,none,0.9996744791666666,0.9990234375,0.0009765625,0.9996744791666666,0.9990234375,,,1,unanimous,-0.0,0.00039355009149562303,unanimous_correct
35,35,0,glioma,0,0.97998046875,0.97998046875,0,0,0.8798828125,0.8798828125,0,0,0.966796875,0.966796875,0,0,correct_all,none,0.9422200520833334,0.8798828125,0.10009765625,0.9422200520833334,0.8798828125,,,1,unanimous,-0.0,0.027637497270672773,unanimous_correct
36,36,0,glioma,0,0.9990234375,0.9990234375,0,0,1.0,1.0,0,0,0.9375,0.9375,0,0,correct_all,none,0.9788411458333334,0.9375,0.0625,0.9788411458333334,0.9375,,,1,unanimous,-0.0,0.03174231133054345,unanimous_correct
37,37,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.9990234375,0.9990234375,0,0,correct_all,none,0.9996744791666666,0.9990234375,0.0009765625,0.9996744791666666,0.9990234375,,,1,unanimous,-0.0,0.0006509260486789034,unanimous_correct
