row_index,image_id,true_class_id,true_class,wrong_class,VGG16_prediction,ResNet50_prediction,EfficientNetB0_prediction
8,8,0,glioma,meningioma,meningioma,meningioma,meningioma
11,11,0,glioma,meningioma,meningioma,meningioma,meningioma
18,18,0,glioma,meningioma,meningioma,meningioma,meningioma
30,30,0,glioma,meningioma,meningioma,meningioma,meningioma
46,46,0,glioma,meningioma,meningioma,meningioma,meningioma
49,49,0,glioma,notumor,notumor,notumor,notumor
56,56,0,glioma,meningioma,meningioma,meningioma,meningioma
58,58,0,glioma,meningioma,meningioma,meningioma,meningioma
80,80,0,glioma,meningioma,meningioma,meningioma,meningioma
97,97,0,glioma,meningioma,meningioma,meningioma,meningioma
117,117,0,glioma,notumor,notumor,notumor,notumor
125,125,0,glioma,meningioma,meningioma,meningioma,meningioma
126,126,0,glioma,meningioma,meningioma,meningioma,meningioma
143,143,0,glioma,meningioma,meningioma,meningioma,meningioma
154,154,0,glioma,meningioma,meningioma,meningioma,meningioma
177,177,0,glioma,notumor,notumor,notumor,notumor
189,189,0,glioma,meningioma,meningioma,meningioma,meningioma
192,192,0,glioma,meningioma,meningioma,meningioma,meningioma
230,230,0,glioma,meningioma,meningioma,meningioma,meningioma
239,239,0,glioma,meningioma,meningioma,meningioma,meningioma
243,243,0,glioma,notumor,notumor,notumor,notumor
245,245,0,glioma,meningioma,meningioma,meningioma,meningioma
265,265,0,glioma,meningioma,meningioma,meningioma,meningioma
269,269,0,glioma,notumor,notumor,notumor,notumor
279,279,0,glioma,notumor,notumor,notumor,notumor
303,303,0,glioma,notumor,notumor,notumor,notumor
321,321,0,glioma,meningioma,meningioma,meningioma,meningioma
322,322,0,glioma,meningioma,meningioma,meningioma,meningioma
342,342,0,glioma,meningioma,meningioma,meningioma,meningioma
349,349,0,glioma,meningioma,meningioma,meningioma,meningioma
352,352,0,glioma,meningioma,meningioma,meningioma,meningioma
354,354,0,glioma,meningioma,meningioma,meningioma,meningioma
365,365,0,glioma,meningioma,meningioma,meningioma,meningioma
370,370,0,glioma,notumor,notumor,notumor,notumor
372,372,0,glioma,notumor,notumor,notumor,notumor
374,374,0,glioma,meningioma,meningioma,meningioma,meningioma
385,385,0,glioma,meningioma,meningioma,meningioma,meningioma
386,386,0,glioma,meningioma,meningioma,meningioma,meningioma
391,391,0,glioma,meningioma,meningioma,meningioma,meningioma
397,397,0,glioma,notumor,notumor,notumor,notumor
401,401,1,meningioma,pituitary,pituitary,pituitary,pituitary
409,409,1,meningioma,pituitary,pituitary,pituitary,pituitary
496,496,1,meningioma,pituitary,pituitary,pituitary,pituitary
521,521,1,meningioma,pituitary,pituitary,pituitary,pituitary
538,538,1,meningioma,pituitary,pituitary,pituitary,pituitary
561,561,1,meningioma,glioma,glioma,glioma,glioma
580,580,1,meningioma,pituitary,pituitary,pituitary,pituitary
599,599,1,meningioma,notumor,notumor,notumor,notumor
1578,1578,3,pituitary,meningioma,meningioma,meningioma,meningioma
